"No.","Time","Source","Destination","Protocol","Length","srcport","dstport"
"77","12:37:05.027537","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"78","12:37:05.027658","192.168.1.102","111.122.110.131","UDP","103","14786","54321"
"79","12:37:05.068871","192.168.1.102","111.122.110.131","UDP","1288","14786","54321"
"80","12:37:05.069051","192.168.1.102","61.159.70.106","UDP","276","14786","38696"
"81","12:37:05.114925","192.168.1.102","239.255.255.250","SSDP","215","49824","1900"
"82","12:37:05.127869","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"83","12:37:05.152168","111.122.110.131","192.168.1.102","UDP","90","54321","14786"
"84","12:37:05.178673","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"85","12:37:05.178674","65.216.231.169","192.168.1.102","TCP","66","80","51905"
"86","12:37:05.190877","192.168.1.102","61.159.70.106","UDP","515","14786","38696"
"87","12:37:05.274595","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"88","12:37:05.324057","192.168.1.102","37.209.252.51","UDP","62","43759","25192"
"89","12:37:05.324258","192.168.1.102","37.209.252.51","TCP","66","52099","25192"
"90","12:37:05.324321","192.168.1.102","103.208.153.194","UDP","62","43759","19795"
"91","12:37:05.324420","192.168.1.102","103.208.153.194","TCP","66","52100","19795"
"92","12:37:05.324461","192.168.1.102","1.52.51.8","UDP","62","43759","39032"
"93","12:37:05.324552","192.168.1.102","1.52.51.8","TCP","66","52101","39032"
"94","12:37:05.324613","192.168.1.102","120.20.22.129","UDP","62","43759","38699"
"95","12:37:05.324726","192.168.1.102","120.20.22.129","TCP","66","52102","38699"
"96","12:37:05.324782","192.168.1.102","31.9.223.79","UDP","62","43759","56908"
"97","12:37:05.324877","192.168.1.102","31.9.223.79","TCP","66","52103","56908"
"98","12:37:05.324935","192.168.1.102","188.162.193.194","TCP","66","52096","64667"
"99","12:37:05.375390","61.159.70.106","192.168.1.102","UDP","92","38696","14786"
"100","12:37:05.375502","192.168.1.102","61.159.70.106","UDP","1482","14786","38696"
"101","12:37:05.375564","192.168.1.102","61.159.70.106","UDP","832","14786","38696"
"102","12:37:05.375594","192.168.1.102","61.159.70.106","UDP","732","14786","38696"
"103","12:37:05.375617","192.168.1.102","61.159.70.106","UDP","835","14786","38696"
